сегодня в 07:19  В разработке находится игровая адаптация мультсериала "Инспектор Гаджет"
сегодня в 01:18  Microsoft: Windows 11 LTSC выйдет во второй половине 2024 года
сегодня в 01:06  Windows 10, версия 22H2 - последняя версия Windows 10 с поддержкой до октября 2025 года
сегодня в 00:49  RPG-головоломка Might & Magic: Clash of Heroes этим летом получит финальное издание
вчера в 18:48  Анонсировано повествовательное приключение The Cosmic Wheel Sisterhood
вчера в 18:10  Завершен черновой перевод Bendy and The Dark Revival
вчера в 13:05  Будущее наступило: Анонсирован мод, добавляющий нейросеть ChatGPT в Skyrim VR
вчера в 08:40  Состоялся анонс мистической приключенческой игры Tokyo Psychodemic для ПК и консолей
26 апреля  Microids анонсировала игру Totally Spies! для консолей и ПК
25 апреля  D.O.R.F. Real-Time Strategic Conflict: игра от независимых разработчиков, вдохновлённая классическими Command & Conquer
25 апреля  Анонсирован симулятор зоомагазина Pet Shop Simulator
25 апреля  Opera One: Новый браузер с модульным дизайном, многопоточным композитором и ИИ-функциями
25 апреля  В Аллоды онлайн готовится обновление 14.1 и открытие янтарного слоя
25 апреля  В Аллоды Онлайн объединяют подписочные сервера
25 апреля  Roguelite-шутер Gunfire Reborn с элементами РПГ выйдет на PlayStation этим летом
24 апреля  Анонсирована Vexlands, приключенческая крафтинговая игра с открытым миром, которая выйдет на ПК в 2024 году
24 апреля  Анонсирована динамичная настольная игра Call of Duty
24 апреля  Анонсирован высокоскоростной экшен BRIGHT TRACER для ПК
23 апреля  Анонсирована постапокалиптическая игра с видом сверху As One We Survive
22 апреля  Анонсирован симулятор богатого папы Rich Dad Simulator: овладейте искусством построения розничной империи
21 апреля  Microsoft может вернуть в Windows 11 популярные функции панели задач
20 апреля  Состоялся анонс кооперативного платформера KarmaZoo
20 апреля  Пиксельная мафия в деле - в Steam появилась необычная игра Don Duality
20 апреля  Пользователи в восторге от геймплейного трейлера фотореалистичного шутера Unrecord
19 апреля  Хоррор на выживание в стилистике 80-х The Outsiders будет доступен в раннем доступе Steam в мае 2023
19 апреля  Первый геймплейный трейлер реалистичного тактического шутера Unrecord
18 апреля  TECNO представил свой первый складной смартфон в России - отличные характеристики и невысокая цена
18 апреля  Анонсирован приключенческий хоррор Bye Sweet Carole для PS5, Xbox Series, PS4, Xbox One, Switch и PC
18 апреля  Вдохновленная аниме RPG -стратегия Blade Princess Academy анонсирована для ПК
18 апреля  Компания Microids официально анонсировала квест Agatha Christie - Hercule Poirot: The London Case
18 апреля  EA анонсировала F1 23; скоро начнется закрытое бета-тестирование
17 апреля  Анонс Harry Potter: Quidditch Champions и регистрация на ближайший плейтест
17 апреля  Состоялся анонс образовательной приключенческой игры Dolphin Spirit: Ocean Mission для ПК и консолей
17 апреля  20 апреля стартует Кубок Губернатора Санкт-Петербурга по компьютерному спорту 2023 года
17 апреля  Firefox: новая функция для уменьшения числа уведомлений о куках
13 апреля  Анонсирована очаровательная приключенческая ролевая игра Evil Wizard для ПК и консолей
13 апреля  Приключенческий хоррор Homicipher анонсирован для ПК
13 апреля  Состоялся анонс мотогонки RIDE 5
12 апреля  Приключение от первого лица Inner Ashes выйдет на консолях и ПК 30 июня
12 апреля  Состоялся анонс Trine 5: A Clockwork Conspiracy
12 апреля  Анонсирован почти новый гоночный симулятор ExoCross от iRacing
12 апреля  Анонсировано детективное приключение Paws of Coal, которое выйдет в Steam 1 мая
12 апреля  Анонсирован симулятор управления дорожной закусочной Road Diner Simulator для ПК и консолей
12 апреля  Mortal Exodus - это как Mortal Online 2, только в космосе
11 апреля  В этом году на ПК выйдет интригующий хоррор с геймплеем в стиле культовой Deus Ex и Prey
11 апреля  Киберпанк, который мы заслужили? Команда из трех человек работает над экшном для взрослых CyberpunkXXX
10 апреля  Стартовал ОБТ модификации "Anomaly Anthology" на платформе S.T.A.L.K.E.R.: Call of Pripyat
9 апреля  Продолжение ролевой игры Defender's Quest 2: Mists of Ruin выйдет в 2023 году
7 апреля  Microsoft исправила 5-летнюю ошибку в Защитнике Windows, затрагивающую производительность Firefox
7 апреля  Квартира в 90-х, мистика и люк в потолке. Очень странный инди квест "I Know This Place..?"
7 апреля  Пользователи высмеяли анонсирующий трейлер шутера Neo Berlin 2087 на Unreal Engine 5
6 апреля  Анонсировано продолжение шутера в ретро-комиксовом стиле Forgive Me Father 2
6 апреля  Bohemia Interactive анонсировала игру в гибридном жанре шутера и стратегии Silica
5 апреля  Геймплейный трейлер дедуктивной приключенческой игры Lil' Guardsman
5 апреля  Анонсирована ролевая игра с открытым миром Hammerwatch II для PS5, Xbox Series, PS4, Xbox One, Switch и ПК
5 апреля  Крошечный Тор демонстрирует свои навыки в одноименной игре в новом геймплейном трейлере
5 апреля  Финал турнира по Tanks Blitz уже близко - призы ждут не только победителей, но и зрителей
5 апреля  Состоялся анонс VR-экшена Crimen - Mercenary Tales
5 апреля  Китайский лёгкий танк QN506 в War Thunder "Ремонтный цех"
4 апреля  Состоялся анонс научно-фантастической тактической ролевой игры Space Prison
4 апреля  Анонсирована Paperman: Adventure Delivered - адвенчура про бумажных почтальонов
4 апреля  Издатель "Иннова" объявил точную дату запуска Silkroad Online
4 апреля  В Калибр 0.20.0 готовят большой ребаланс оперативников
3 апреля  Этим летом на ПК в Steam выйдет шутер с двумя джойстиками в жанре roguelite Odinfall на тему викингов
